"","attributes","B and B","Rusty Nail","The Blenheim","Churchill","Common Market","Four Score","Golden Doublet","Kensington Court Special","Link Up","Lorraine","Missouri Mule","Moonwalk","My Fair Lady","Nixon","Powerscourt","The Ed Shelly","Prince of Wales","Royal Arrival","Savoy Affair","Savoy Royale","Savoy Corpse Reviver","Wolfram","Brandy Alexander","Manhattan","Brandy Sour","Sours","White Lady","Brandy Daisy","Chicago Cocktail","French Connection","Horse's Neck","Incredible Hulk","Jack Rose","Paradise","Pisco sour","Porto Flip","Sazerac","Sidecar","Singapore Sling","Stinger","Tom and Jerry","Caipirinha","Caju amigo","Batida","Quentão","Bacardi cocktail","Between the Sheets","Blue Hawaii","Brass Monkey","Bumbo","Bushwacker","","Cojito","Cremat","Cuba Libre (Rum and Coke)","Cuban Sunset","Daiquiri","Dark 'n' Stormy","El Presidente","Flaming Doctor Pepper","Flaming volcano","Gunfire","Hot buttered rum","Hurricane","Long Island Iced Tea","Macuá","Mai Tai","Mojito","Painkiller","Piña colada","Planter's Punch","Bermuda Rum Swizzle","151 Swizzle","Suffering Bastard (1942)","Club-Mate","Tschunk","Yellow Bird","Zombie","Bloody Mary","Sake bomb","Tamagozake","Chimayó Cocktail","El Toro Loco","Tom Collins","Juan Collins","Margarita","Matador","Paloma","Tequila Slam/Coscorron","Tequila Sunrise","Vampiro","Agent Orange","Appletini ","Astro pop","Black Russian","BLT","Blue Lagoon","Caesar","Cape Codder","Colombia","Cosmopolitan","Fizzy Apple Cocktail","Gimlet","Harrogate Nights","Harvey Wallbanger","Screwdriver","Kamikaze","Mint julep","Lemon drop martini","Rickey","Moscow mule","Orange Tundra","Red Russian","Salmiakki Koskenkorva","Salty dog","Sea Breeze","Sex on the Beach","Vesper","Vodka martini","White Russian","Woo Woo","Yorsh","Amber Moon","Black Nail","Bobby Burns","Boulevardier","Bourbon lancer","Brooklyn","Farnell","Irish Coffee","Horsefeather","Jack and Coke","Lynchburg Lemonade","Old Fashioned","Rob Roy","Scotch and soda","Seven and Seven","Toronto","Whiskey sour","Black Velvet","Death in the Afternoon","B-52","Baby Guinness","Orgasm","Backdraft","Carrot Cake","Jägerbomb","Americano","Polar Bear","Redheaded slut"
"115","Timing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Before Dinner",NA,NA,"All Day",NA,NA,"After dinner",NA,NA,NA,"All Day","All Day","After Dinner","After dinner","All Day",NA,"After Dinner (Before Dinner)",NA,NA,NA,NA,NA,"Before dinner","All Day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy Hour / Summer drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All Day",NA,NA,NA,NA,NA,NA,NA,NA,"All Day",NA,NA,NA,NA,NA,NA,NA,NA,"After dinner",NA,NA,NA,NA,NA,"All day",NA,NA,NA,"All day","All Day","All Day",NA,"All Day",NA,NA,NA,NA,NA,NA,NA,NA,"Before dinner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Before dinner",NA,NA,NA,NA,"Before Dinner",NA,NA,"After Dinner",NA,NA,NA,NA,NA,"Before dinner",NA,NA
"116","Tires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S.I.R. racing slicks, Goodyear Terra, BKT tires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Top view of an Apple Martini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Top view of an Apple Martini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Toronto cocktail served on the rocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toronto cocktail served on the rocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Toronto recipe at CocktailDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toronto recipe at CocktailDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Traditional Irish coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Traditional Irish coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coan 2-speed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Truck information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Truck information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Type","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail family","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Mixed drink","Cocktail","Mixed drink","Cocktail","Mixed drink","Cocktail","Mixed drink","Mixed drink","Mixed drink","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Mixed drink","Cocktail","Cocktail","Mixed drink",NA,"Cocktail","Cocktail","Mixed drink","Mixed drink","Beer cocktail","Cocktail","Mixed drink",NA,"Mixed drink","Mixed drink","Cocktail","Cocktail","Cocktail","Mixed drink shooter/drink shot","Mixed drink","Cocktail","Cocktail","Mixed drink","Mixed drink","Cocktail","Mixed drink","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Mixed drink","Mixed drink","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Cocktail","Cocktail","Mixed drink","Cocktail","Cocktail","Cocktail","Mixed drink","Wine cocktail","Layered shooter","Mixed drink shooter/drink shot","Cocktail","Cocktail","Layered shooter","Mixed drink","Mixed drink","Mixed drink shooter/drink shot","Mixed drink"
"124","Vampiro cocktail in a highball glass, garnished with a slice of an orange and a chili pepper.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vampiro cocktail in a highball glass, garnished with a slice of an orange and a chili pepper.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Vampiro recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vampiro recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Vesper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vesper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Whiskey Sour recipe at DrinkBoy IBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whiskey Sour recipe at DrinkBoy IBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","White Lady recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Lady recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Year created",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Yellow Bird recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Bird recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
